IV,Delta,Gamma,Theta,Premium
43.93614446165763,254.9994247988693,0.006897064755799118,253.15109268749632,0.0
44.50401820294345,254.99723608913945,0.03089597357397244,253.1273029416807,0.0
41.405402788536016,254.9883928588228,0.12051806908208455,253.0384407842386,0.0
40.45483152594888,254.95709775339216,0.41209374116627395,252.74927053819937,0.039794007490636704
38.862316034082106,254.85949223529636,1.2429152114749369,251.92511822437118,0.07958801498127341
36.837722695584816,254.58963332240504,3.3261102462995535,249.85819796923718,0.11938202247191011
35.50445391169636,253.92459041355715,7.941107415773267,245.2783050584667,0.15917602996254682
34.948925251742835,253.46418896605013,10.906758876344243,242.3348280819221,0.1989700374531835
34.232910534469404,253.17567565859977,12.70017702419652,240.55471752748926,0.23876404494382025
34.26994577846631,252.84151958766145,14.725989327877292,238.54386012205248,0.23876404494382025
33.55393106119288,252.456123500121,17.003436326923545,236.28314020644967,0.27855805243445697
33.55393106119288,252.01347767176054,19.551635958156243,233.7535621610786,0.31835205992509363
32.788536018590236,251.5071716653369,22.389282351902942,230.93654954601257,0.31835205992509363
31.381196746707978,250.93041352944456,25.534314787631747,227.81427393086366,0.35814606741573035
31.961415569326103,250.2760569709962,29.003560623838577,224.37000963198543,0.39794007490636707
31.813274593338495,249.5366369179241,32.812357104986106,220.58850949303857,0.4377340823970038
31.615753292021687,248.70441374969354,36.97415800473294,216.45639579417733,0.4775280898876405
31.381196746707978,247.7714263132812,41.50013205222492,211.96255939261204,0.5173220973782772
31.097259876065063,246.72955366408107,46.39876096841557,207.09855932104637,0.5571161048689139
30.788632842757554,245.57058527828949,51.67544567470213,201.8590143379104,0.5969101123595506
30.442970565453138,244.28629927992387,57.332129790906436,196.24197736995535,0.6367041198501873
30.084963206816422,242.8685480167143,63.36694988222516,190.24928344495754,0.6764981273408239
30.084963206816422,241.3093501101068,69.77392201831944,183.88686160696415,0.7560861423220974
30.023237800154916,239.60098790139224,76.54267405247654,177.16500145822087,0.7958801498127341
29.91213206816421,237.73610902455908,83.65823260210628,170.09856539349778,0.8754681647940076
29.739300929512,235.70783066289965,91.10087301024662,162.70713828733258,0.9550561797752809
29.517089465530596,233.50984489650332,98.84603959658165,155.0151073577151,1.0346441947565541
29.578814872192098,231.13652342694866,106.86434228082857,147.0516661458863,1.1540262172284643
29.541779628195194,228.58301987855396,115.12163420538803,138.8507379974172,1.2336142322097376
29.467709140201396,225.84536782639717,123.57917333109744,130.4508160714692,1.3529962546816479
29.578814872192098,222.92057269299627,132.19386917078248,121.89471870257815,1.4723782771535578
29.640540278853603,219.80669568987477,140.9186139079078,113.22926084496777,1.631554307116105
29.6035050348567,216.5029280579406,149.7026951745864,104.50484429059402,1.7907303370786516
28.82576491092177,213.0096539809435,158.49228579180289,95.77497131307078,1.9499063670411985
29.615850116188998,209.32850070760648,167.23100386096743,87.09568829262864,2.1090823970037453
27.65298218435321,205.46237461682378,175.8605347994064,78.52496766564526,2.3080524344569286
29.578814872192098,201.41548219268,184.3213052854203,70.12203816142828,2.5070224719101124
27.615946940356313,197.1933351363603,192.55319767302342,61.946674689503745,2.7059925093632957
29.504744384198293,192.80273912412835,200.49629229444216,54.05846037831448,2.9447565543071157
29.480054221533692,188.25176601758702,208.09162422746795,46.51603410649563,4.218164794007491
26.91227730441518,183.54970963688902,215.28194058906718,39.37633738349802,3.4222846441947565
29.418328814872186,178.7070255119313,222.01244424519436,32.69387461049855,3.661048689138577
29.39363865220759,173.73525532313653,228.23151000283804,26.52000058114066,3.9396067415730336
29.307223082881485,168.64693702480545,233.8913598710333,20.902248567218624,5.411985018726591
29.33191324554609,163.4555019032932,238.94868482561847,15.883711494051557,4.496722846441947
28.257891169635943,158.1751600532371,243.36520166366842,11.502487569338232,4.815074906367041
29.196117350890777,152.82077595229754,247.1081349531866,7.791200319167525,5.133426966292135
29.220807513555386,147.40773597392402,250.15061572913447,4.776601351217227,5.4517790262172285
28.99859604957397,141.95180979548763,252.4719904119696,2.4792623516977845,5.809925093632959
28.060369868319132,136.46900773334784,254.05803537564861,0.9133608835922774,6.207865168539326
29.220807513555386,130.9754360665606,254.90107461478178,0.0865625427422756,6.605805243445693
29.33191324554609,125.48715805595171,255.0,0.0,8.197565543071162
29.541779628195194,120.02010808412878,254.36019561203176,0.6483474667776024,7.521067415730337
29.689920604182806,114.58986077208365,252.99336955720406,2.0199872184529384,8.038389513108614
29.788681254841205,109.21153592027503,250.91729844383138,4.0972630411335365,8.555711610486892
29.82571649883811,103.89969266669655,248.15549129803773,6.85681387540405,9.073033707865168
29.813371417505806,98.66821637111042,244.736781085235,10.269979547825562,9.590355805243446
29.899786986831913,93.53021689124365,240.69485315294122,14.303269335308745,10.14747191011236
29.949167312161116,88.49793918738533,236.06772080207503,18.918883218151674,10.704588014981272
29.92447714949651,83.58268696626406,230.89715881736416,24.075275054217613,11.301498127340823
30.035582881487215,78.79475984322384,225.22810614055385,29.727746553344243,11.898408239700373
30.084963206816422,74.143404269123,219.10804895650787,35.829060841649536,12.495318352059925
30.270139426800927,69.63677824050686,212.58639529564115,42.33006456884658,13.132022471910112
30.418280402788536,65.28192959342385,205.7138518538929,49.18030790966899,13.7687265917603
30.50469597211464,61.08478747721012,198.5418131173677,56.328652418329206,14.405430711610487
30.54173121611154,57.050166418397254,191.12177208147583,63.72385748692128,15.08192883895131
30.51704105344694,53.18178221976507,183.50476090432005,71.31513710171416,15.718632958801498
30.45531564678544,49.482278797811816,175.74082876440008,79.05267965421532,16.395131086142325
30.54173121611154,45.95326494516503,167.87856303805967,86.88812471161202,17.031835205992508
30.57876646010844,42.59535991368311,159.96465870531114,94.77499185138963,17.708333333333336
30.566421378776145,39.40824664923274,152.04353966663697,102.66905788373033,18.384831460674157
30.50469597211464,36.39073147014658,144.15703443951983,110.52867999387114,19.06132958801498
30.628146785437643,33.540808966923805,136.34410752774022,118.31506350583663,19.77762172284644
30.702217273431447,30.855730909423023,128.64064664529866,125.9924740754637,20.454119850187265
30.739252517428348,28.3320779776314,121.07930494999546,133.52839514316142,21.170411985018724
30.986154144074362,25.965833180618898,113.68939651556029,140.89363239888942,21.886704119850187
30.936773818745156,23.752455893274977,106.49684245977957,148.06236782064698,22.602996254681646
31.121950038729665,21.686955518774667,99.52416445681192,155.01216653480245,23.359082397003746
31.25774593338497,19.76396387398409,92.79052179960921,161.72394030705885,24.075374531835205
31.368851665375676,17.97780549224999,86.31178774486375,168.18187190579732,24.791666666666668
31.43057707203718,16.322565140620934,80.10066056487287,174.37330488717342,25.54775280898876
31.8009295120062,14.792151953816818,74.16680454358303,180.28860353888066,26.303838951310862
31.8009295120062,13.380359693099289,68.51701607977411,185.92098779457788,27.02013108614232
32.109556545313716,12.080922742199768,63.15541008932428,191.26634790328742,27.77621722846442
32.0107958946553,10.887567552856478,58.083622019336104,196.32304351881055,28.532303370786515
32.282387683965915,9.79405934781337,53.30102098740197,201.0916916755901,29.288389513108616
32.67743028659954,5.613587279536568,33.57295186956015,220.76611629110678,33.068820224719104
33.25764910921766,3.076157820219314,20.059691222247505,234.24883484304272,36.889044943820224
33.726762199845076,1.6132626017786478,11.39261051455386,242.90249972305992,40.70926966292135
33.158888458559254,0.8105926241050032,6.1621169185210505,248.13110170158183,44.609082397003746
32.208317195972114,0.39065792638898145,3.1801654911440496,251.11830115856077,48.4691011235955
23.924767621998452,0.18079870950841515,1.5687442639386353,252.73908108225706,52.3689138576779
0.0,0.08044754345037375,0.7409225747170806,253.57847556407907,56.268726591760306
0.0,0.034455890299524006,0.33559480670665415,253.99649734139228,60.20833333333333
0.0,0.014221917447694854,0.14599985617437805,254.19932218968674,64.14794007490637
0.0,0.0056637082204241684,0.061098234194930955,254.2976961984816,68.0875468164794
0.0,0.0008104019744986646,0.009577231178056877,254.3764127890935,76.0065543071161
0.0,3.620779193136414e-06,5.180478082423754e-05,254.45414899618675,95.8239700374532
0.0,8.129696915659679e-09,1.355243665142834e-07,254.52242553156114,115.72097378277154
0.0,1.0220158053186879e-11,1.9299331544705569e-10,254.5906505715906,135.61797752808988
0.0,0.0,1.649157254409211e-13,254.6588754764863,155.5149812734082
0.0,0.0,9.168649089732515e-17,254.72710038118913,175.4119850187266
0.0,0.0,3.548373221496942e-20,254.79532528589186,195.30898876404493
0.0,0.0,1.0118516779494003e-23,254.86355019059457,215.20599250936328
0.0,0.0,2.230667741084245e-27,254.93177509529724,235.1029962546816
0.0,0.0,3.960150969753262e-31,255.00000000000006,254.99999999999997
